population_size: 50,
selection_size: 50,
mutation_rate: 0.01,
crossover_rate: 0.3,
crossover_points: 3,
generations: 50,
battle_participants: 2,
elite_num: 2,
,
generation,accuracy
0,0.526400029659271
1,0.534200012683868
2,0.542900025844574
3,0.542900025844574
4,0.542900025844574
5,0.565599977970123
6,0.565599977970123
7,0.565599977970123
8,0.567200005054474
9,0.567200005054474
10,0.567200005054474
11,0.582199990749359
12,0.582199990749359
13,0.582199990749359
14,0.582199990749359
15,0.582199990749359
16,0.582199990749359
17,0.582199990749359
18,0.582199990749359
